File:,"../Sarcasm/Sarcasm_train_set_1.csv"
TEXT,VALUE,PRED,CORRECT
"britain plummets to lowest value in world since 1580s",1,-1,FAIL
"chance the rapper livestreams traffic stop in chicago",-1,-1,MATCH
"housefly tracks dog shit all over cucumber slice",1,-1,FAIL
"authorities say dozens of bystanders failed to act as man went about his life",1,1,MATCH
"ice cream truck driver going to let these kids sweat a little bit before stopping",1,-1,FAIL
"once again: can a mission-driven nonprofit be blindsided?",-1,-1,MATCH
"khalid sheikh mohammed confesses to confessing under torture",1,1,MATCH
"neither boss nor employee paid enough to deal with each other",1,1,MATCH
"friend from college wasted no time becoming white-collar professional",1,1,MATCH
"radiator saving single loudest clank for 3:32 a.m.",1,-1,FAIL
"trevor noah can't wrap mind around trump-obama white house meeting",-1,1,FAIL
"100 things to be thankful for",-1,-1,MATCH
"can't go wrong with a cheeseburger, area man reports",1,1,MATCH
"this photo series powerfully denounces the pain caused by prejudice in small towns in brazil",-1,-1,MATCH
"lawyers identify dozens more bill cosby victims while interviewing potential jurors",1,-1,FAIL
"local grandmother feared dead after appearing in woman's profile picture",1,1,MATCH
"what older voters expect from donald trump",-1,-1,MATCH
"live from the toronto film festival: sunday, sept. 7",-1,-1,MATCH
"enchilada premonition comes to pass",1,1,MATCH
"avoiding popular songs somehow accomplishment for local man",1,1,MATCH
"fcc sniper takes out matthew mcconaughey to prevent live broadcast of profanity",1,1,MATCH
"one man's quest to document the highways that tore his city apart",-1,-1,MATCH
"no one is talking about this terrible outcome of the gop health plan",-1,-1,MATCH
"uber vows to repay nyc drivers 'tens of millions' after tax snafu",-1,-1,MATCH
"these two little kids are better at soccer than you are at anything",-1,-1,MATCH
"growing 'fat-earther' movement believes planet 2.4 quintillion pounds overweight",1,-1,FAIL
"5 labor day escapes that are totally worth the money",-1,-1,MATCH
"news roundup for august 2, 2017",-1,-1,MATCH
"al franken pledges to make up for sexist behavior over course of next four senate terms",1,1,MATCH
"california's golden healthcare opportunity",-1,-1,MATCH
"vacationing man misses own remote control",1,1,MATCH
"this is how to locate lost life insurance policies",-1,-1,MATCH
"key senate race deeply divides men and women",-1,-1,MATCH
"vessel for male sexual gratification very sad today",1,-1,FAIL
"guy on roof starting to think he might get away with it",1,1,MATCH
"australia to lay off leading scientist on sea levels",-1,1,FAIL
"15 popular travel destinations you should avoid in the summer",-1,-1,MATCH
"guardian news & media to cut costs by 20%",-1,-1,MATCH
"'time' magazine subscribers brace for inevitable issue with close-up of ted cruz's face",1,1,MATCH
"god urges rick perry not to run for president",1,1,MATCH
"lea michele romances fake gosling in 'on my way' video",-1,-1,MATCH
"microwave used as alarm clock",1,-1,FAIL
"this woman made it her mission to make a dangerous job safer by inventing a unique solution",-1,-1,MATCH
"bouncer instructed not to let people like himself in",1,1,MATCH
"virginia alcohol agents involved in bloody arrest return to duty",-1,-1,MATCH
"adam sandler fans disappointed by intelligent, nuanced performance",1,1,MATCH
"fbi shuts down prominent new isis recruitment website",1,1,MATCH
"60-year-old hippie pitied by 40-year-old punk",1,1,MATCH
"caitlyn jenner calls out jimmy kimmel for jokes about her transition",-1,-1,MATCH
"area doctor: 'mylanta'",1,1,MATCH
"immigration officials asking about fourth-grader turned away by nyc school",-1,1,FAIL
"watch: stunning holy fire ritual lights up orthodox easter",-1,1,FAIL
"vacation to israel canceled due to history of israel",1,1,MATCH
"8 famous women who popped the question",-1,-1,MATCH
"after a string of accidents, u-haul announces closure of aircraft division",1,-1,FAIL
"area dad off to bad start with waitress",1,1,MATCH
"every single kid who was orphaned by ebola in guinea has a home",-1,-1,MATCH
"thousands march in washington, d.c. heat to demand trump act on climate change",-1,-1,MATCH
"ryan seacrest catches up with 'captain phillips' star maersk alabama on red carpet",1,-1,FAIL
"giddy thom yorke goes to bed early to make grammy day get here sooner",1,-1,FAIL
"the unwinnable afghanistan war",-1,-1,MATCH
"loud squawking crow forces faa to ground all flights indefinitely",1,1,MATCH
"president's american manufacturing council down to ceo of shoe carnival",1,1,MATCH
"mitt romney still thinking about running for president in 2012",1,1,MATCH
"everyone in coffee shop can tell trainee a goner",1,-1,FAIL
"compromising company's values for advertising revenue referred to as 'partnering'",1,-1,FAIL
"area mom off thinking about princess diana again",1,1,MATCH
"embarrassed whale panicking about huge barnacle outbreak before date",1,1,MATCH
"china to send elite army unit to ebola-hit liberia",-1,-1,MATCH
"household death toll climbs to one",1,-1,FAIL
"milo ventimiglia strips down to raise awareness for breast cancer on 'ellen'",-1,1,FAIL
"the sugar industry paid scientists to be on its side as early as the 1960s",-1,-1,MATCH
"22-year-old gets job at website",1,1,MATCH
"world will miss goal for universal education by 50 years: un",-1,1,FAIL
"bananas again sweep primates' choice awards",1,-1,FAIL
"dallas is where i finally get to see the famous french déjeûner sur l'herbe" painting by monet"",-1,-1,MATCH
"evidence linking alleged florida shooter to white supremacist group is really thin",-1,-1,MATCH
"public outraged as price of fast-depleting, non-renewable resource skyrockets",1,1,MATCH
"retro-crazed youths re-elect carter",1,-1,FAIL
"hpps social shares - test 2",-1,-1,MATCH
"new omnigrain cheerios made with every existing grain on earth",1,1,MATCH
"dozens of knockoff internets flood market after patent expires",1,1,MATCH
"8 stats that prove social anxiety needs to be taken seriously",-1,-1,MATCH
"walnuts improve area chicken salad",1,1,MATCH
"area desk doesn't mind if people sit on it like a chair every once in a while",1,1,MATCH
"hillary clinton hints at presidential ambitions by concealing information from american people",1,-1,FAIL
"mom sleeps in past sunrise",1,1,MATCH
"geologists say continents may have drifted apart after emotional falling-out",1,-1,FAIL
"an easy way to shop small businesses this black friday",-1,-1,MATCH
"'the sheer beauty of montana just intrigues me': meet the people of livingston",-1,-1,MATCH
"weekend roundup: victory in myanmar for democracy -- on a leash",-1,-1,MATCH
"prick veterinarian keeps dachshund waiting in empty lobby for 45 minutes",1,1,MATCH
"donald trump casts doubt on russian election interference ahead of vladimir putin meeting",-1,-1,MATCH
"missing just 2 hours of sleep quadruples your risk of a car accident",-1,-1,MATCH
"readin' researchin' writin' and the tools to make it happen",-1,-1,MATCH
"the key to finding your spiritual partnership",-1,-1,MATCH
"donald trump to bring adviser with russia ties to classified briefing",-1,-1,MATCH
"universal remote latest step in area man's plan for total living room domination",1,1,MATCH
"man accused of shooting and burning 2 people after refusing to pay cab fare",-1,-1,MATCH
"donald trump and america's blood sport of choice",-1,-1,MATCH
"30-year-old has earned $11 more than he would have without college education",1,1,MATCH
"gregg popovich goes full throttle on 'soulless coward' donald trump",-1,-1,MATCH
"steven spielberg recalls coming to blows with e.t. on film set",1,1,MATCH
"watch: carl reiner professes his love for tina fey: 'she's still sexy'",-1,-1,MATCH
"company encourages women who have been sexually harassed to come forward with resignation letter",1,-1,FAIL
"deadly tornadoes rip through texas as floods threaten midwest",-1,1,FAIL
"west virginia flooding kills 24 and submerges towns",-1,-1,MATCH
"horrifying police body camera footage clearly shows current state of america",1,-1,FAIL
"democrats should focus scotus fight on gorsuch's backing of big donors",-1,-1,MATCH
"experts say breakfast now sixth most important meal of the day",1,-1,FAIL
"sudafed introduces new sinus drill for immediate congestion relief",1,1,MATCH
"sex life embellished during doctor visit",1,1,MATCH
"how to get your home guest ready for the holidays",-1,-1,MATCH
"nytimes.com's plan to charge people money for consuming goods, services called bold business move",1,-1,FAIL
"will the atlanta falcons rise up or shrink down?",-1,-1,MATCH
"chris hughes throws in the towel, puts 'new republic' up for sale",-1,-1,MATCH
"vital info on iraqi chemical weapons provided by u.s. company that made them",1,1,MATCH
"barber just latest in string of humans to feign interest in what area man says",1,1,MATCH
"top 5 bagel spots in nyc",-1,-1,MATCH
"megyn kelly on donald trump: 'i have done my level best to not make this story about me'",-1,-1,MATCH
"war criminal a grandpa",1,-1,FAIL
"where you live may add to why you smoke",-1,-1,MATCH
"parents don't remember enough colors to help with kindergartner's homework",1,-1,FAIL
"why i'm stonewalling 'stonewall'",-1,-1,MATCH
"darren sharper faces 20 years in prison under plea deal",-1,-1,MATCH
"the 20 funniest tweets from women this week",-1,-1,MATCH
"as scott pruitt flies first class, epa barely gets off the ground",-1,-1,MATCH
"billy ray cyrus to speak out on single-payer health-care issue on politically incorrect",1,1,MATCH
"2 killed, 4 injured in mishap at florida coal power plant",-1,-1,MATCH
"nation horrified to learn about war in afghanistan while reading up on petraeus sex scandal",1,1,MATCH
"what if you couldn't protect your children?",-1,-1,MATCH
"the great republican revolt",-1,-1,MATCH
"the olympic committee awards the 2024 games to macron, not trump",-1,-1,MATCH
"reporter leads rescuers to truck driver trapped in 10 feet of water",-1,-1,MATCH
"kirk franklin blasts creflo dollar's $65 million private jet campaign",-1,-1,MATCH
"state department warns americans traveling abroad to avoid lame amsterdam windmill tour",1,1,MATCH
"offbeat squirrel in park garnering cult following",1,-1,FAIL
"nation's substitute teachers would like to know who threw that",1,1,MATCH
"what i learned about love from my boyfriend's depression",-1,-1,MATCH
"u.s. ethics chief ordered gushing responses to trump's tweets",-1,-1,MATCH
"patti lupone says madonna 'couldn't act her way out of a paper bag'",-1,-1,MATCH
"humanitarians shouldn't have to risk their own lives in order to save others",-1,-1,MATCH
"'the world of postsecret' reveals what lurks in the hearts of man",-1,-1,MATCH
"brad pitt goes completely gray for new movie",-1,1,FAIL
"how to get out of a bad mood",-1,-1,MATCH
"man turns vegetarian for 36 hours",1,1,MATCH
"obesity swept the nation and now healthy schools are taking it back... with your help",-1,-1,MATCH
"extravagant new window blinds inspired by the latest styles from venice",1,-1,FAIL
"obama to cancel debts owed by defrauded for-profit college students",-1,1,FAIL
"the next water crisis is looming ─ how can tech help?",-1,-1,MATCH
"fan disappointed to learn l. ron hubbard scientologist",1,-1,FAIL
"bill clinton takes his time getting on air force one -- and president obama is not having it",-1,-1,MATCH
"ferguson shop owner 'overwhelmed' by community support after looting",-1,-1,MATCH
"congress raises livestock minimum wage to $6.50 per hour",1,1,MATCH
"good guy with gun, bad guy with gun both excited to unload firearm in crowd outside arena",1,1,MATCH
"what happened when a black reporter crashed a white nationalist event",-1,-1,MATCH
"veteran brita filter's tour of duty extended another 3 months",1,1,MATCH
"ben & jerry's releases 'cake my day' as its newest flavor",-1,-1,MATCH
"the edge still introducing self as such",1,-1,FAIL
"friday's morning email: inside trump's presser for the ages",-1,-1,MATCH
"report: it pretty incredible that americans entrusted with driving cars",1,1,MATCH
"'dotard' vs. 'rocketman': the nuclear standoff that rattled 2017",-1,-1,MATCH
"lakers fan is like 'screw this' and puts on a warriors jersey mid-game",-1,-1,MATCH
"how a broken taillight can be a death sentence in america",-1,-1,MATCH
"child's last steps captured on video",1,-1,FAIL
"no, outraged liberals, sean spicer should not be fired for hitler comments",-1,-1,MATCH
"business innovation: what market leaders can learn from video games",-1,-1,MATCH
"2015 mix queer experimental film festival coming to nyc",-1,1,FAIL
"this may explain why you can't stop hitting the snooze",-1,-1,MATCH
"'100 years of italian beauty' is a bellissima trip back in time",-1,-1,MATCH
"the judge stands in shock when he sees who's singing on stage... wow!",-1,-1,MATCH
"petition to censure trump gains momentum",-1,-1,MATCH
"sxsw as cool and as real as it gets, reports marketing associate",1,-1,FAIL
