File:,"../Sarcasm/Sarcasm_train_set_4.csv"
TEXT,VALUE,PRED,CORRECT
"vagina has five o'clock shadow",1,1,MATCH
"political cartoonist not sure how to convey that large sack in senator's hand is full of money",1,1,MATCH
"conversational lamprey slowly draining life from dinner party",1,1,MATCH
"new united airlines policy scraps last-minute boarding for crew members",-1,1,FAIL
"haunted corn maze owner has another conversation with zombie no. 2 about not touching",1,-1,FAIL
"the christian sideshow in acts of terror",-1,-1,MATCH
"paul rudd celebrates kansas city royals' win by getting showered with beer",-1,1,FAIL
"iowa resident has opinion month too late",1,1,MATCH
"global-warming crisis makes for delightful mid-february afternoon",1,1,MATCH
"here's why ohio state won't repeat",-1,-1,MATCH
"listen to the roots' 'tomorrow' today",-1,-1,MATCH
"homesick trump stays up all night on phone with automated mar-a-lago reservations line",1,1,MATCH
"report: u.s. economy loses $20 billion annually to americans writing ideas down illegibly",1,1,MATCH
"officials investigating hugh hefner's death suspect foreplay",1,-1,FAIL
"amtrak passengers treated to whirlwind tour of poor people's yards",1,1,MATCH
"new 'war' enables mankind to resolve disagreements",1,1,MATCH
"ted cruz: federal reserve is being run by philosopher kings",-1,-1,MATCH
"obama explains difference between police reform and 'war on cops'",-1,-1,MATCH
"could quincy jones be any cooler in this new fashion campaign?",-1,-1,MATCH
"pug puppy does the most adorable thing when he spots the camera",-1,-1,MATCH
"retirement savings actually fell over the past year",-1,-1,MATCH
"newly unemployed woman enjoys equal pay for first time in career",1,1,MATCH
"'mapplethorpe' documentary directors reflect on the artist and their film",-1,-1,MATCH
"dog befriends roomba",1,1,MATCH
"rise of the rest day 3: will the rise" include everyone?"",-1,-1,MATCH
"increasing number of americans unable to point out map",1,1,MATCH
"hundreds in alabama may face jail under new law for voting in gop senate runoff",-1,-1,MATCH
"local places moms love",-1,1,FAIL
"u.s. urges bin laden to form nation it can attack",1,1,MATCH
"senators wish domenici would bring dog to work more often",1,1,MATCH
"study: home rotisseries only american technological field still advancing",1,1,MATCH
"jared kushner excited to finally visit white house after gaining security clearance",1,1,MATCH
"trump's talk on terror and iraq has experts worried about a coming backlash",-1,-1,MATCH
"... and justice for all",-1,-1,MATCH
"lgbt parenting: does every moment have to be a teaching moment?",-1,-1,MATCH
"lisa kudrow, craig robinson and wyatt russell answer your wedding etiquette questions",-1,-1,MATCH
"battle of wits with unwieldy burrito nears thrilling endgame",1,1,MATCH
"today's buddha doodle - how to change your future",-1,-1,MATCH
"doctors: cancer patients who watched the onion's amazon pilot daily showed signs of remission",1,-1,FAIL
"citizens to vote on young or old reagan for $15 bill",1,-1,FAIL
"this earth day, i stand for science",-1,-1,MATCH
"donald trump thinks roger goodell is 'weak,' 'stupid' and a 'dope'",-1,-1,MATCH
"mississippi bans soft drinks smaller than 20 ounces",1,1,MATCH
"trump once bombarded scottish leader with 16 letters slamming a wind farm",-1,-1,MATCH
"guests emerge shell-shocked from rich people's wedding",1,1,MATCH
"in defense of matt harvey",-1,1,FAIL
"grand bahama island: this is the adventure-filled escape you've been looking for",-1,-1,MATCH
"area man has some pretty shitty mob ties",1,1,MATCH
